Sno,Item name,Quantity,Price
101,phone,49,100000
102,laptop,18,70000
103,tv,24,150000
104,usb,30,500
105,ps4 ,40,40000
201,earrings ,48,150
202,nail polish ,38,250
203,bracelete ,87,900
204,lipstick,28,200
205,eyeliner,78,144
301,shirts ,76,2000
302,pants ,95,2500
303,skirts,44,1499
304,kurtas ,98,744
305,hoodies,148,1000
401,sneakers,70,3500
402,heels ,55,4000
403,sandals,48,399
404,walking/running shoes,100,1000
405,boots,24,5000
501,crockery ,139,2500
502,storage container,189,500
503,carpets,92,800
504,bedsheets,178,850
505,shoerack,41,900
